Setup title,"mosfet 14 meas"
1.345,0.016284
1.36,0.016256
1.375,0.016226
1.39,0.016198
1.405,0.016172
1.42,0.016146
1.435,0.016118
1.45,0.01609
1.465,0.016064
1.48,0.016036
1.495,0.016012
1.51,0.015988
1.525,0.01596
1.54,0.015932
1.555,0.015906
1.57,0.01588
1.585,0.015854
1.6,0.015826
1.615,0.015802
1.63,0.015778
1.645,0.01575
1.66,0.015728
1.675,0.015702
1.69,0.015674
1.705,0.015652
1.72,0.015628
1.735,0.015602
1.75,0.015576
1.765,0.015552
1.78,0.015528
1.795,0.015506
1.81,0.01548
1.825,0.015454
1.84,0.015432
1.855,0.01541
1.87,0.015384
1.885,0.015362
1.9,0.015336
1.915,0.015314
1.93,0.01529
1.945,0.015268
1.96,0.015246
1.975,0.015222
1.99,0.0152
2.005,0.015176
2.02,0.015156
2.035,0.015132
2.05,0.015106
2.065,0.01509
2.08,0.015068
2.095,0.015046
2.11,0.015022
2.125,0.015
2.14,0.014978
2.155,0.014956
2.17,0.014934
2.185,0.014912
2.2,0.014892
2.215,0.014868
2.23,0.014846
2.245,0.014822
2.26,0.0148
2.275,0.014784
2.29,0.01476
2.305,0.014742
2.32,0.01472
2.335,0.014698
2.35,0.014678
2.365,0.014658
2.38,0.01464
2.395,0.014618
2.41,0.0146
2.425,0.01458
2.44,0.014558
2.455,0.01454
2.47,0.014518
2.485,0.014498
2.5,0.014478
2.515,0.014458
2.53,0.01444
2.545,0.01442
2.56,0.014402
2.575,0.01438
2.59,0.014364
2.605,0.014342
2.62,0.014324
2.635,0.014306
2.65,0.014288
2.665,0.014268
2.68,0.014248
2.695,0.014226
2.71,0.014212
2.725,0.014192
2.74,0.014174
2.755,0.014156
2.77,0.01414
2.785,0.01412
2.8,0.014098
2.815,0.014082
2.83,0.014062
2.845,0.014042
2.86,0.01403
2.875,0.01401
2.89,0.01399
2.905,0.013976
2.92,0.01396
2.935,0.013938
2.95,0.01392
2.965,0.013904
2.98,0.013886
2.995,0.013872
3.01,0.013852
3.025,0.013834
3.04,0.013816
3.055,0.0138
3.07,0.013786
3.085,0.013768
3.1,0.013752
3.115,0.013734
3.13,0.01372
3.145,0.0137
3.16,0.013682
3.175,0.013668
3.19,0.01365
3.205,0.01363
3.22,0.013618
3.235,0.0136
3.25,0.013582
3.265,0.013568
3.28,0.013552
3.295,0.013536
3.31,0.01352
3.325,0.013504
3.34,0.01349
3.355,0.013472
3.37,0.013458
3.385,0.01344
3.4,0.013424
3.415,0.013406
3.43,0.013392
3.445,0.013378
3.46,0.013362
3.475,0.01335
3.49,0.013336
3.505,0.013316
3.52,0.013304
3.535,0.013288
3.55,0.01327
3.565,0.013256
3.58,0.01324
3.595,0.013226
3.61,0.01321
3.625,0.013198
3.64,0.013182
3.655,0.013166
3.67,0.013154
3.685,0.013138
3.7,0.013124
3.715,0.013108
3.73,0.013092
3.745,0.013076
3.76,0.013062
3.775,0.013048
3.79,0.013036
3.805,0.01302
3.82,0.013006
3.835,0.012992
3.85,0.012978
3.865,0.012964
3.88,0.01295
3.895,0.012936
3.91,0.012922
3.925,0.012908
3.94,0.012892
3.955,0.012882
3.97,0.012868
3.985,0.012852
4,0.01284
4.015,0.012824
4.03,0.012812
